"Date","Type","Area","What was implemented","Version","Commit"
"2026-08-15","UI / styling","Ask Chetna AI","Bring the answer sections onto the parchment and cap the measure","v3.5.18","a5e285e"
"2026-08-15","Feature","Birth chart","Say what each house holds in THIS chart, not just what houses mean","v3.5.17","29cb598"
"2026-08-15","Bug fix","Birth chart","Compose the header into two groups instead of five siblings","v3.5.16","534ff19"
"2026-08-15","Bug fix","Birth chart","Tokenise the last hardcoded dark-theme badge colours","v3.5.15","2574883"
"2026-08-15","Bug fix","Birth chart","Rebuild the page's layouts in CSS that exists","v3.5.14","d0cc8d3"
"2026-08-15","UI / styling","Timing & seasons","Give the chart's own reading visual primacy","v3.5.13","a9a157c"
"2026-08-15","Bug fix","Timing & seasons","Rebuild the gochar section in CSS the project actually loads","v3.5.12","4e87b63"
"2026-08-15","Bug fix","Typography","Cap the reading measure, on both screens","v3.5.11","f90fa87"
"2026-08-15","Bug fix","Timing & seasons","Render the chart's own reading instead of the lord-name table","v3.5.10","f713760"
"2026-08-15","Bug fix","Astrology engine","Stop ending every planet's analysis in the same sentence","v3.5.9","ca3c98a"
"2026-08-15","Feature","Birth chart","Expose the per-chart analysis the engine already computes","v3.5.8","06168cc"
"2026-08-15","Bug fix","Timing & seasons","Describe the seeker's own dasha lord, not the lord in general","v3.5.7","6154832"
"2026-08-15","Bug fix","Ask Chetna AI","Pin the composer to the bottom where it can be found","v3.5.6","52d1c32"
"2026-08-15","Bug fix","Accessibility","Meet the 44px tap target floor in the shared chrome","v3.5.5","9e2cfa1"
"2026-08-15","Bug fix","Home","Balance the two columns instead of leaving one two-thirds empty","v3.5.4","67b594f"
"2026-08-15","Feature","Birth chart","Make the chart readable — fluid sizing and pinch zoom","v3.5.3","1fc5029"
"2026-08-15","Bug fix","Relationships","Load the profiles the picker is supposed to pick from","v3.5.2","52e6ac3"
"2026-08-15","Bug fix","Navigation","Start every navigation at the top of the page","v3.5.1","0416dab"
"2026-08-15","Bug fix","AI prompts","Write the daily note for someone who knows no astrology","v3.5.0","b357ded"
"2026-08-15","Performance","Home","Stop shipping 2MB of three.js to signed-in users","v3.5.0","1fca584"
"2026-08-15","Bug fix","Today screen","Bring the sky card onto the parchment","v3.5.0","b62cd93"
"2026-08-15","Feature","Explore","Give the product explanation a route of its own","v3.5.0","4c4a008"
"2026-08-15","Maintenance","AI prompts","Retune the prompts, and land the 3.4.0 version bump","v3.4.0","4d18683"
"2026-08-15","Bug fix","Today screen","Show the daily note in the app, not only on the web home","v3.4.0","9f94c25"
"2026-08-15","Bug fix","Auth","Tell a seeker whose account is gone to sign in again","v3.3.12","544b8e3"
"2026-08-15","Feature","AI","Move every prompt out of code and into prompts/ai-prompts.md","v3.3.11","17280ba"
"2026-08-15","Documentation","Transits","The s-maxage is inert; say so where it is written","v3.3.10","d26b2b7"
"2026-08-15","Bug fix","Daily insight","Stop paying for the same note twice","v3.3.9","eb913f5"
"2026-08-15","Performance","Profiles","Route the last four callers through the shared store","v3.3.8","e8bd41a"
"2026-08-15","Performance","Profiles","Run the three active-profile reads together","v3.3.7","6d422e3"
"2026-08-15","Performance","Astrology","Compute today's sky once an hour, not once per request","v3.3.6","ffcaddd"
"2026-08-15","Performance","Analytics","Stop making every page view wait on the email engine","v3.3.5","de5de12"
"2026-08-15","Performance","Profiles","One shared cached profile fetch; visible spinner; rashi fix","v3.3.4","5afe1d6"
"2026-08-15","Maintenance","Versioning","Bump the patch on every commit, not once per push","v3.3.3","eac8502"
"2026-08-15","Maintenance","","Add the backup1 scripts to the env-script family","v3.3.2","b0f232e"
"2026-08-15","Performance","Timing & seasons / Today screen","Stop recomputing the chart on every visit; profile gate; rashi","v3.3.2","97d4de8"
"2026-08-14","Feature","Home","A daily AI note, written once per seeker per calendar day","v3.3.2","928e5db"
"2026-08-14","Bug fix","UI","Readable lucky colour, and define the 20 missing CSS variables","v3.3.2","614b976"
"2026-08-14","Bug fix","Birth chart / Operations","Parchment chart colours, web heading scale, column drift repair","v3.3.1","66bd7fd"
"2026-08-14","Performance","Birth chart","Keep the 16.8MB ephemeris out of the browser bundle","v3.3.1","2d2472c"
"2026-08-13","Performance","Birth chart","Stop storing (and re-creating) megabyte chart blobs","v3.3.0","c246296"
"2026-08-09","Bug fix","","PDF download in native mobile app for Clarity and Timelines","v3.2.20","61b9411"
"2026-08-08","Feature","","Add active profile context to AI Astrologer and hide FAB in chat","v3.2.19","bcd1caa"
"2026-08-08","UI / styling","","Fix dashboard font sizes, avatar alignment, loading states, buttons, and TS errors","v3.2.18","135ac92"
"2026-08-08","Feature","","Add PDF export for Clarity insights and auto-clear input","v3.2.17","f046de2"
"2026-08-08","Bug fix","","Restore MessageSquare import for dashboard to fix build","v3.2.16","0b6a480"
"2026-08-08","Bug fix","","Resolve framer-motion AnimatePresence key and fragment bugs crashing layout","v3.2.15","6637e2b"
"2026-08-08","Bug fix","","Make AI parser case-insensitive and fix fallback arrays","v3.2.14","9f52c17"
"2026-08-08","Maintenance","","Remove crons from vercel.json for free tier compatibility","v3.2.13","392c147"
"2026-08-08","Feature","","Add WhatsApp opt-in UI and fix Vercel AI function timeouts","v3.2.12","e08106f"
"2026-08-08","Feature","","Add whatsapp chat button and daily cron job","v3.2.12","ffba524"
"2026-08-08","Maintenance","","Remove raw payload logger to prevent log spam in production","v3.2.11","1658937"
"2026-08-08","Bug fix","","Await AI processing so vercel doesnt freeze lambda","v3.2.10","51831f8"
"2026-08-08","Bug fix","","Mock user logic for test webhook","v3.2.9","4fb172b"
"2026-08-08","Maintenance","","Add raw webhook logging for debugging","v3.2.8","b556529"
"2026-08-08","Feature","","Integrate WhatsApp API and Deepseek chat webhook","v3.2.7","0b543fa"
"2026-08-08","Feature","UI","Upgrade astrologer dashboard to premium glass aesthetic","v3.2.6","10aceae"
"2026-08-08","Feature","","Enhance DashaDisplay: Map planet abbreviations to full names","v3.2.6","80da127"
"2026-08-08","UI / styling","","UI Redesign: Dashboard and Chart page polish, mobile optimizations","v3.2.5","517f865"
"2026-08-07","Feature","Mobile app","Application launch and screens [ v3.2.4 ]","v3.2.4","848c5d4"
"2026-08-07","Bug fix","Mobile app","Slow the launch to the sound, and stop the chart drawer overflowing","v3.2.3","f383c09"
"2026-08-07","Feature","Mobile app","Open on the brand mark drawing itself, not a spinner","v3.2.2","621cf5c"
"2026-08-07","Bug fix","Mobile app","Stop the service worker serving the website to the apps","v3.2.1","47efc3f"
"2026-08-07","Documentation","","Correct the claim that pushing preview reaches production","v3.2.1","25a964a"
"2026-08-07","Feature","Mobile app","Give the apps their own home screens","v3.2.0","11742ef"
"2026-08-07","Feature","Mobile app","Pull down at the top of a screen to reload it","v3.1.10","82e7de7"
"2026-08-07","Bug fix","UI","Unstick the header, and lay the astrologer desk out for a quiet day","v3.1.9","3971b74"
"2026-08-07","Documentation","","Note the version stamp on commit subjects","v3.1.8","34bdf89"
"2026-08-07","Build / tooling","","Stamp the shipping version onto every commit subject","v3.1.8","a16906a"
"2026-08-07","Bug fix","Environment","Never let the startup check prevent startup","","e72bdd8"
"2026-08-07","Documentation","","Record the migration squash and the trap it removes","","7a969e9"
"2026-08-07","Maintenance","prisma","Squash to a baseline that can actually rebuild the database","","336047c"
"2026-08-07","Refactor","","Retire the second door to creating an astrologer","","2e3954a"
"2026-08-07","Tests","web","Cover the logic that decides money and time, and check the environment at boot","","7b22396"
"2026-08-07","Bug fix","AI","Cap the flows that spend at the provider but charge nothing","","6bc01eb"
"2026-08-06","Bug fix","Operations","Build a fresh database from the schema, not from migration history","","75295f1"
"2026-08-06","Bug fix","astrologer","Version the portrait pointer so a new photo is visible at once","","8b3f7ef"
"2026-08-06","Bug fix","astrologer","Show portraits that exist, and promote profiles without clobbering them","","e244f6b"
"2026-08-06","Feature","Operations","Local operations console for the three databases","","e4c50bc"
"2026-08-05","Feature","astrologer","A working front door, appointments and self-serve profile","","22b8081"
"2026-08-05","Feature","astrologer","Publish photos, explicit presence, 77% fewer requests","","8dffaf3"
"2026-08-05","Bug fix","theme","Retire the last dark-theme colours sitewide","","ea1b93c"
"2026-08-05","Feature","v3","Manuscript homepage, astrologer publish chain, one button colour","","dcbe912"
"2026-08-04","Bug fix","homepage","Remove old sections, darken rashi images","","a821241"
"2026-08-04","Feature","homepage","Redesign homepage with vintage Vedic astrology aesthetic, Daily Guidance grid, and Nine Grahas section","","cce7ee3"
"2026-08-04","Bug fix","Auth","Disable Credential Manager One Tap via useCredentialManager: false to force standard Google Account Picker","","db3c0b9"
"2026-08-04","Bug fix","Auth","Remove premature signOut before signInWithGoogle on native Android","","6a52ad3"
"2026-08-04","Bug fix","Auth","Handle Android error 28439 (Google One Tap disabled by user)","","881c9be"
"2026-08-04","Bug fix","Auth","Surface raw native google sign-in error details for diagnostic transparency","","47bfc77"
"2026-08-04","Feature","","Reverting back the changes suggested in strings.xml & adding the file mobile/android/app","","41af3b5"
"2026-08-04","Bug fix","","Add missing google-services.json for native android auth","","8a6b1ac"
"2026-08-03","Bug fix","android","Add default_web_client_id for google sign-in","","2c22eb8"
"2026-07-31","Bug fix","design","Convert the dark surfaces the value-matching passes missed","","5bb1104"
"2026-07-31","Feature","design","Illustrated masthead, paper cards, section rhythm","","699ed88"
"2026-07-31","Feature","design","Parchment manuscript foundation, one palette","","467f9bf"
"2026-07-31","Maintenance","","Add design and animation skills","","955489a"
"2026-07-31","Bug fix","theme","Make light-theme text and gold controls readable","","ef112bd"
"2026-07-31","Feature","","AI astrologer profile, remove hard-coding","","981b741"
"2026-07-30","Bug fix","Home","Clip decorative bleed instead of widening the page on mobile","","4c47bd7"
"2026-07-30","Tests","","Make the payout verification script runnable","","c635fbc"
"2026-07-30","Maintenance","","Release 2.4.0","","d0a7953"
"2026-07-30","Feature","Consultations","AI astrologers, per-astrologer pricing, Kimi provider","","be91351"
"2026-07-30","Bug fix","UI","Stop the footer filling the screen while a page is still loading","","dbadffc"
"2026-07-30","Bug fix","admin","Shared layout so every admin page keeps its navigation","","a874c67"
"2026-07-30","Feature","Consultations","Astrologer application screening and review","","0b54e98"
"2026-07-29","Feature","Consultations","Astrologer onboarding, dashboard and admin approval","","f14c139"
"2026-07-29","Maintenance","","Release 2.2.0","","fb3b32a"
"2026-07-29","Feature","Consultations","Surface /consult in navigation","","1c611bc"
"2026-07-29","Feature","Consultations","Astrologer marketplace foundation and chat sessions","","5117e2b"
"2026-07-29","Build / tooling","","Single version source across web, Android and iOS","","e87c25b"
"2026-07-28","Maintenance","","Release 2.1.9","","c77e45d"
"2026-07-28","Feature","","App home, code-split starfield, derived Android version, light theme","","05bfd25"
"2026-07-28","Maintenance","","Release 2.1.8","","28cce77"
"2026-07-28","Feature","mobile","Left-anchored drawer, overflow-only in app, reachable App Info","","6d84591"
"2026-07-27","Maintenance","","Release 2.1.7","","a72bb92"
"2026-07-27","Bug fix","mobile","Stop flex rows crushing their text on narrow screens","","84a118a"
"2026-07-27","Maintenance","","Release 2.1.6","","8b0adfd"
"2026-07-27","Feature","","Native app shell, illustrated rashi pages, fluid type scale","","b31db9e"
"2026-07-26","Feature","updates","Detect deploys by build id so a bump can't be forgotten","","5c37d2a"
"2026-07-26","Maintenance","","Release 1.0.0","","1c6e899"
"2026-07-26","Feature","updates","Scale urgency to the size of the version jump","","c64cbb6"
"2026-07-26","Bug fix","updates","Compare against the running bundle, not a hardcoded constant","","908891d"
"2026-07-26","Feature","","Truly automatic app updates - no user action required","","4943eea"
"2026-07-26","Bug fix","","Make push notifications fully automatic on app startup","","9317b81"
"2026-07-26","Bug fix","","Auto-notifications and manual updates not working","","6733377"
"2026-07-26","Feature","","Find automatic update notification","","643d703"
"2026-07-26","Refactor","","Fully automated OTA updates - zero manual configuration","","81d7dc5"
"2026-07-26","Feature","notifications","Auto-send update notifications on new versions","","2393019"
"2026-07-26","Feature","notifications","Add push notification system for app updates","","83b94b3"
"2026-07-26","Feature","Mobile app","Add app info page for version details and update checks","","7413ae7"
"2026-07-26","Feature","debug","Add version debug page for troubleshooting OTA updates","","8cce509"
"2026-07-26","Bug fix","","Remove invalid 'dpr' from Canvas gl props","","a2acac4"
"2026-07-26","Bug fix","","Remove invalid 'transparent' property from Canvas gl props","","05ff6a1"
"2026-07-26","Feature","","Add design system, live updates, and Storybook setup","","7a367ff"
"2026-07-26","Maintenance","","Bump version to 1.0.1 and add test update","","ce797d2"
"2026-07-26","Feature","updates","Add custom OTA (Over-The-Air) update system","","8560ce9"
"2026-07-26","Bug fix","Auth","Match Firebase's operation-not-allowed prose, not just the code","","f5a6e8c"
"2026-07-26","Bug fix","Auth","Stop discarding Firebase's error text in phone sign-in","","5448ce4"
"2026-07-26","Bug fix","Auth","Load the Firebase plugin from the native bridge, not a JS chunk","","622be88"
"2026-07-26","Bug fix","Auth","Name the exact stage that hangs in phone OTP","","de29d01"
"2026-07-26","Feature","Operations","Report the server's Firebase project in /api/health/db","","f786594"
"2026-07-26","Bug fix","csp","Allow Vercel's preview toolbar so report-only output stays readable","","1ca4708"
"2026-07-26","Bug fix","Auth","Make the phone-OTP timeout say WHERE the flow stalled","","001c1fe"
"2026-07-26","Maintenance","Auth","Log the phone-OTP flow so a stall can be located","","617e7ec"
"2026-07-26","Bug fix","Auth","Arm the phone-OTP timeout before any await; document SHA-256 requirement","","a8d480b"
"2026-07-26","Bug fix","deps","Pin a CommonJS jose for jwks-rsa so firebase-admin can verify tokens","","1ed7eee"
"2026-07-26","Documentation","","Record the Supabase pooler port requirement","","27fe1b0"
"2026-07-26","Feature","Operations","Add /api/health/db so the deployment names its own database","","8981a16"
"2026-07-26","Bug fix","ci","Extract the SHA-1 with apksigner, formatted for Firebase","","69306fb"
"2026-07-26","Build / tooling","","Report whether google-services.json matches the registered SHA-1","","5db1e50"
"2026-07-26","Bug fix","Auth","Stale Firebase sessions made native sign-in failures permanent","","177fb6d"
"2026-07-26","Bug fix","ci","Pin the debug signing key; detect Firebase config by content not path","","90dda8e"
"2026-07-26","Bug fix","","Error fixing .. trying if working now","","1be48ec"
"2026-07-26","Bug fix","Auth","Link Google to existing email accounts; stop phone OTP hanging forever","","59cc048"
"2026-07-26","Bug fix","ci","Read signing fingerprint from the APK, not a guessed keystore path","","270037b"
"2026-07-26","Bug fix","db","Make baseline script actually run on Windows PowerShell","","81d0b65"
"2026-07-26","Bug fix","db","Add per-environment migrate scripts; correct the shared-database claim","","ead82a7"
"2026-07-26","Bug fix","Auth","Surface the real cause behind error=Configuration","","e3338d2"
"2026-07-25","Bug fix","Auth","Register providers only when configured, so failures name themselves","","b0ace22"
"2026-07-25","Feature","Auth","Native Google sign-in for the apps","","2b4b378"
"2026-07-25","Bug fix","ci","Print debug SHA-1 after the build, using keytool","","66bae23"
"2026-07-25","Bug fix","mobile","Remove overscroll-behavior that broke scrolling in Android WebView","","9206a07"
"2026-07-25","Documentation","mobile","Add beginner Firebase setup guide; print debug SHA-1 in CI","","44bf276"
"2026-07-25","Feature","native","Wire up share and haptics; drop unused camera/preferences plugins","","80a96d5"
"2026-07-25","Bug fix","mobile","Make server URL configurable; correct host check and iOS SPM paths","","64deb9c"
"2026-07-25","Build / tooling","","Add debug-APK workflow for device testing","","a19a18f"
"2026-07-25","Feature","mobile","App icons, splash screens, release CI, and docs","","878f4ae"
"2026-07-25","Feature","Auth","Add Sign in with Apple","","bc73b65"
"2026-07-25","Feature","compliance","In-app account deletion with grace period, and deep links","","f465824"
"2026-07-25","Feature","payments","Apple IAP on iOS via RevenueCat; share credit-granting path","","dd821e6"
"2026-07-25","Feature","push","Add FCM/APNs push notifications","","1fd3ed0"
"2026-07-25","Bug fix","db","Derive baseline list from disk; drop empty migration directory","","c5e5ae1"
"2026-07-25","Maintenance","db","Add one-time migration baselining script","","c097b00"
"2026-07-25","Maintenance","db","Add env-scoped prisma scripts","","8f3af93"
"2026-07-25","Bug fix","mobile","Keep Firebase SDK out of the web bundle; preserve footer padding","","d9dc427"
"2026-07-25","Feature","mobile","Scaffold Capacitor iOS/Android projects and native shell","","3b4c82a"
"2026-07-25","Feature","Auth","Add phone/OTP sign-in for the native apps","","1a08491"
"2026-07-25","Feature","mobile","Add PWA + native-app web foundations","","d075021"
"2026-06-18","Feature","","Rate-limit auth and strengthen password policy","","d20ca2c"
"2026-06-18","Performance","","Fix scroll jank on desktop and mobile","","aade868"
"2026-06-17","Feature","","New zodiac-ring logo and light-theme readability fixes","","6705fd9"
"2026-06-16","Feature","","Add growth funnels and traffic-driven lifecycle marketing","","eaf301a"
"2026-06-15","Maintenance","","Verify Vercel auto-deploy trigger","","01b36f0"
"2026-06-14","Feature","","UX, SEO, accessibility, and production-readiness improvements","","d61601d"
"2026-05-13","Bug fix","","Sync logged-out welcome bonus banner with admin setting","","1d1f7b8"
"2026-05-13","Feature","","Rebrand AskChetna, simplify logo env config, and update contact emails","","844aa5a"
"2026-05-13","Feature","","Add per-flow AI provider and model env controls","","f9b3bed"
"2026-05-12","Feature","","UI improvements and configurable welcome bonus","","a08125c"
"2026-05-02","Bug fix","","Improve responsive layouts and welcome bonus popup reliability","","78756ef"
"2026-05-02","Bug fix","","Show welcome bonus as popup modal on dashboard","","643d845"
"2026-05-02","Bug fix","","Show welcome bonus notice reliably before marking as seen","","87e653a"
"2026-05-02","Feature","","Harden payments and add credit request + bonus notice flows","","dcd1291"
"2026-03-28","Feature","","Remove global login reminder prompt - auth handled per-feature","","6c74b0f"
"2026-03-28","Feature","","Astraea Noir Cosmic Overhaul - Scroll Narrative, Layered Wheel, Oracle Reading Flow and Sacred UI","","045085a"
"2026-03-21","Performance","","Vedic Cosmic UI Overhaul: enhanced background, sacred typography, and site-wide readability optimization","","97d2dcf"
"2026-03-20","Bug fix","","Dashboard + timing responsiveness, cosmic dark theme default, DB migration scripts, blog/footer cosmic overhaul","","9c28427"
"2026-03-20","Feature","","Vedic cosmic UI overhaul + astrological engine (Gochar, Ashtakavarga, Yogas, Muhurta)","","7612f28"
"2026-01-10","Bug fix","","Fix build: Restore Client Component shells with explicit Suspense for App Router","","c6efefa"
"2026-01-10","Bug fix","","Fix build errors: Refactor Timing, Chart, and Clarity pages with dynamic imports and Suspense boundaries","","0901f3a"
"2026-01-10","UI / styling","","AI-powered Timing insights, multi-profile support, and UI/UX polish","","6c5e42c"
"2026-01-10","Bug fix","","Fix build errors, correct Nakshatra calculation, and prevent cross-profile insight leakage","","6c0c9c0"
"2026-01-10","Bug fix","","Fix AI insight profile leakage and enhance planetary personalization","","973d921"
"2026-01-08","Bug fix","","Fix Chart Page build: Refactor to Suspense wrapper and separate content component","","fad7ab3"
"2026-01-08","Feature","","Refactor profile creation flow to global modal, enable active profile deletion, and fix panchang concurrency deadlock","","7b7cbef"
"2026-01-07","UI / styling","","Enhanced planet insights with larger fonts and comprehensive PDF export - Added inline CSS for 36px headers and 18px body text - Created detailed 100+ word planet insights explaining placement significance - Updated PDF export to include Planet Placement & Expression section - Added house numbers, sign lords, and detailed analysis to PDF - Implemented comprehensive responsive design for all pages","","ac3a3bb"
"2026-01-07","Refactor","","Refactor Planet Placement UI text and formatting","","ed4224f"
"2026-01-07","Feature","","Add D5/D6/D8 charts, public pricing, profile header & rich insights","","7478e93"
"2026-01-07","Feature","","Add D5 D6 D8 charts, public pricing API and profile details header","","b6696b0"
"2026-01-07","UI / styling","","Redesign logged-in home page: enhanced Energy, Panchang, and Journal widgets","","adfcc5e"
"2026-01-06","Feature","","Add legal pages (Privacy, Terms, Disclaimer, Refund) and About page with navigation updates","","0c88f0e"
"2026-01-06","Bug fix","","Text","","140fc66"
"2026-01-06","Bug fix","","Add blog access restriction and fix build error","","58f3c48"
"2026-01-06","Bug fix","","Implement full Blog system with Admin CRUD, clickable line items, and API bug fixes","","f810c4c"
"2026-01-06","UI / styling","","Refine home page layout and update footer social links","","5cd6058"
"2026-01-06","Feature","","Add visual icons to Philosophy section for better thematic communication","","65bcdd2"
"2026-01-06","Bug fix","","Fix dark mode readability and update home page layout","","b5a6792"
"2026-01-06","Refactor","","Update home page content, layout refactor, and set light theme as default","","1cc5cfa"
"2026-01-06","Refactor","","Update Home Page: refine story text, add Life Focus Reports block, and refactor About section","","6e942d2"
"2026-01-04","Bug fix","","Resolve Next.js 15 async params build error in community routes","","3cb2e9f"
"2026-01-04","Feature","","Integrated community forum and dashboard overhaul","","63d34d3"
"2026-01-04","Feature","","Overhaul Detailed Insight responsiveness and readability","","1d02f94"
"2026-01-04","Feature","","Refine D1 chart: 'Your Story' structure, theme compatibility, and PDF sync","","4963d53"
"2026-01-04","Bug fix","","Implement admin features and UI fixes","","1ccf776"
"2026-01-02","Bug fix","","Optimize Dasha depth to resolve Vercel payload limits","","db8a23a"
"2026-01-02","Bug fix","","Final resolution for SwissEph data loading and 404 errors","","da9c4bb"
"2026-01-02","Bug fix","","Final build error resolution for SwissEph","","95c4a1c"
"2026-01-02","Bug fix","","Bundle SwissEph binaries as Base64 to resolve production 404s","","d5694de"
"2026-01-02","Bug fix","","Improve WASM/Data file path resolution for production","","0b38e88"
"2026-01-02","Bug fix","","Resolve TypeScript build error for production","","15b49d7"
"2026-01-02","Bug fix","","Vendor swisseph-wasm to resolve loading errors and expand Indian cities list","","e312839"
"2026-01-01","Bug fix","prod","Enable wasm support with copy-plugin & improve logging","","3416dbd"
"2026-01-01","Bug fix","","Profile Error","","4698131"
"2026-01-01","Maintenance","","Manual trigger for vercel deployment","","2b55876"
"2026-01-01","Bug fix","","Missing Crown icon import","","fdab10c"
"2026-01-01","Bug fix","","Profile name, git error .. removed key from the file","","6784e8f"
"2026-01-01","Other","","Life Report, Profile","","720079e"
"2025-12-27","Feature","","Fix credit addition bug, improve profile responsiveness, and add clarity history detail page","","fee85f4"
"2025-12-27","Feature","","Refine profile management, add gender field, and optimize chart payload size","","b70e126"
"2025-12-26","UI / styling","","Overhaul mobile responsiveness of home page","","4ea2b2a"
"2025-12-26","UI / styling","","Overhaul mobile responsiveness & navigation","","28611b9"
"2025-12-26","Feature","","Complete decision tree integration & api stability fixes","","886d8af"
"2025-12-26","Feature","","Implement 5-level dasha hierarchy & vimshottari decision tree","","e877dd2"
"2025-12-25","Bug fix","","Build error","","b2c2052"
"2025-12-25","Feature","","Implement advanced astrology features (Antardashas, AI Synastry, Journal Correlation, D9 Insights, and Razorpay)","","e2c1343"
"2025-12-25","Maintenance","","Resolve all linting issues, improve type safety, and migrate middleware to proxy","","277faaf"
"2025-12-25","Bug fix","","Fix chart calculation logic, correct Ascendant quadrant, and enhance Chart UI visibility","","47f5fee"
"2025-12-23","Bug fix","","Added favicon and fixed build error","","ac85882"
"2025-12-22","Bug fix","","Added some features and fixed error","","622eb7b"
"2025-12-22","Bug fix","","Build Error Fix","","7026f47"
"2025-12-22","Feature","","Added Chart","","7caf547"
"2025-12-22","Other","","Google Login","","cde8bca"
